answer,response,LABEL BENAR,HASIL BERT-ID,HASIL W2V-AVGCOS-RFR,HASIL FASTTEXT-AVGCOS-RFR,HASIL W2V-WMD-LINEAR,HASIL 70-ID-NO PRE W2V AVG RFR ,HASIL 70-ID-PRE W2V AVG RFR ,"HASIL 70 BERT NO FINE
TUNING",HASIL PRETRAIN W2V-AVGCOS-LINEAR
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"animasi komputer adalah pembuatan atau pemrosesan sebuah gambar animasi yang dibuat dengan menggunakan komputer, yang diperuntukkan agar pembuatan suatu animasi dapat dikerjakan lebih cepat dan menghasilkan animasi yang real, sering digunakan untuk membuat animasi 3D, 2D, motion graphics",2.5,1.1638269,5,4.515,2.7691598380501,4.44,4.93,2.5836515,2.70572882022178
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer",animasi komputer merupakan sebuah bentuk seni grafis yang dibuat dengan komputer dan bergerak dalam satu kurun waktu secara berturut-turut (continuous),4.5,1.36105685,4.266,3.68,2.46812628803541,4.4,3.07,2.1384145,1.24023772851799
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,animasi yang dibuat pada saat sekarang dan dibantu dengan berbagai software dari komputer sehingga menghasilkan sebuah karya yang terbilang bisa smooth dan semi realis,2.5,1.06112735,2,0.764999999999999,3.08486820156927,3.68,2.495,2.834491,1.96340401228091
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,sebuah animasi dimana animasi ini sebuah pergerakan pada gambar yang diciptakan sebuah teknologi yang dimana akan menciptakan sebuah gambar animasi yang bergerak layaknya film-film,4,1.79055215,4.865,3.63999999999999,3.30988977114317,4.695,4.16,2.543874,3.08978971527213
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer",proses menciptakan gerakan menggunakan komputer,5,0.5524048,3.635,1.74633333333333,1.53871032717004,2.77,2.225,1.91578835,1.67063964932573
sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"bagaimana menceritakan sebuah kisah, menunjukkan emosi, bahkan mengekspresikan detail karakter yang dibantu oleh alat berupa komputer untuk mencapai tujuan tersebut bahkan terdapat penambahan untuk memperindah animasi.",2.5,1.0851501,4.81166666666667,3.12,2.85021961913815,4.9,2.8,2.6107362,2.23526082848572
sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,proses pembuatan gambar-gambar yang digabungkan sehingga membuat ilusi seakan akan gambar tersebut seperti bergerak yang dibuat menggunakan komputer,5,2.3120059,4.685,3.39,2.98648256351442,4.965,3.90000000000001,2.7032685,2.85375483829891
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer",animasi yang dibuat pada komputer dengan menggunakan objek digital dengan tujuan memberikan kehidupan pada objek objek digital tersebut,4,1.464909,4.45,3.15,1.91883661384394,4.165,3.815,2.35019625,1.09378020452959
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"animasi berasal dari kata latin anima yang berarti pergerakan. pergerakan suatu gambar atau citra yang merupakan susunan dari berbagai frame sehingga membentuk suatu pergerakan yang realistis dan digital. Sehingga dapat dinikmati oleh berbagai kalangan dengan tujuan berupa bisnis, hiburan, dan sebagainya",5,1.31794185,4.96,3.415,2.83755059345314,3.68471428571429,4.62641666666667,1.47170215,1.65414648877703
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,salah satu cara membuat suatu animasi dengan menggunakan bantuan dari komputer. Hal ini biasanya dilakukan dengan animasi 2D atau 3D dimana manusia akan membuat keypoint dari sebuah gerakan dan komputer akan membantu dengan mengisi gerakan diantaranya. sehingga menghilangkan beban menggambar animasi berulang-ulang,2.5,1.38750525,5,4.33,2.29187486388001,4.88,3.625,2.4300495,3.02525983323569
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"animasi yang dibantu oleh komputer, seperti pembuatan vektor, komposisi karakter, dan sepertinya, semua dibuat atau dibantu oleh komputer",2.5,1.6139084,3.99599999999999,3.06,2.3617685575366,4.48,2.495,2.8879805,2.01861343864539
sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,suatu gambar yang baik dibuat melalui lukisan gambar yang dibuat oleh manusia maupun dengan menggunakan komputer yang dimana lapisan-lapisan gambar tersebut akan membentuk suatu gerakan seperti yang dilakukan di dunia nyatanya atau membentuk gerakan seperti gerakan asli.,5,1.30884,4.965,0.955,1.97838474714561,4.47,4.5,3.23618,2.45561565694252
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"teknik pembuatan gambar bergerak yang dihasilkan secara digital menggunakan komputer. Animasi ini sering digunakan untuk menciptakan visualisasi kompleks yang sulit atau tidak mungkin direalisasikan secara tradisional. CGI umumnya digunakan dalam film, game, dan desain grafis untuk menciptakan adegan yang realistis, mulai dari karakter animasi, efek visual, hingga latar belakang yang mendetail.",5,1.14890935,4.8,3.41,2.60552666897024,4.9,2.65,2.8063655,2.54645622007614
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,sebuah proses membuat suatu animasi dengan perangkat komputer itu sendiri. Frame dan objek yang merupakan elemen dari sebuah animasi dibuat dengan bantuan komputer,2.5,1.9750965,3.295,3.545,3.05144752568492,3.60000000000001,4.62,2.894594,3.09657836903855
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer","kumpulan gambar (frame) yang digabung menjadi satu hingga terciptanya kehidupan dari gabungan gambar tersebut, menggunakan berbagai prinsip untuk membuat suatu animasi menjadi hidup",3.5,0.7938224,3.0625,1.375,1.62087608602997,4.55,2.61,2.4864596,0.942395573876316
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,animasi yang dibuat dan dirender dengan menggunakan perangkat komputer (software dan hardware). Animasi dibuat dengan cara menggerakkan model (2D/3D) dalam komputer.,2.5,1.5644437,4.97,2.175,2.8528434590228,4.315,3.525,2.9813365,1.92425281469817
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer","kegiatan, proses, atau hasil dari pemberian kehidupan pada suatu objek. Kegiatan pemberian kehidupan yang menggunakan komputer",3,1.3456987,1.625,0.345,0.753061852449836,4.25,2.15,3.054276,0.533955994970321
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"suatu proses menghasilkan gerakan dengan membuat frame per frame objeknya animasi dengan komputer berarti penggunaan komputer untuk membuat suatu gerakan dengan menggunakan software untuk membuat dan mengatur frame per frame dari animasinya. Contohnya seperti 2D vector animation, 3D computer animation, dan motion graphics",5,1.773077,4.775,4.49,2.11045679343034,4.91,3.13,2.590549,2.2450582903138
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"teknik animasi dengan menggunakan komputer sebagai pembantu manusia dalam menggambar dan merancang setiap karakter, waktu, dan semua aspek dalam pembuatan animasi atau cerita dari animasi yang akan dibangun, komputer akan memudahkan setiap penggambaran dari konsep animasi yang akan dibangun dengan menggunakan aplikasi dalam",2.5,1.1727938,5,2.3,2.34899496744358,4.415,4.36,3.1198055,2.34075697768356
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"proses membuat sebuah video yang dibuat tiap framenya secara berurutan dan membuat objek dalam framenya terlihat bergerak, dan proses ini dilakukan menggunakan software animasi komputer, baik itu animasi 2D (menggunakan after effect atau adobe flash), maupun animasi 3D (menggunakan blender)",5,1.8191394,4.42,3.12,2.8691628341955,4.875,3.93,2.9256335,2.73351601883605
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"proses menggambarnya tidak lagi dilakukan secara manual menggunakan kertas, melainkan menggunakan software editing di komputer yang didukung menggunakan graphic card",2.5,1.2433356,2.39,3.57999999999999,2.03156518777009,5,4.04499999999999,2.2796775,1.11558501209054
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"animasi yang dibuat menggunakan software komputer seperti blender, unity, roblox studio dan lain lain. Animasi dengan komputer lebih mudah karena berbagai fitur yang telah disediakan agar animasi terlihat lebih bagus.",2.5,1.560969,3.94999999999999,2.15,2.68871186552052,3.71,4.31,2.9547965,2.20124319561696
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"teknik menghasilkan gambar bergerak dengan menggunakan bantuan perangkat lunak komputer, baik dalam pembuatan animasi 2D (berbasis vektor), maupun animasi 3D (berbasis objek yang kemudian dirender)",5,1.9894655,5,1.94,3.15250482319656,3.67,4.725,3.145292,2.57967101489139
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,pembuatan gambar bergerak secara digital dengan komputer menggunakan perangkat lunak,4,1.15409715,3.44,2.12,2.31523473389946,4.37750000000001,4.625,2.1472385,2.09932924034228
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"berarti kita sebagai animator membuat animasi ke serasa dunia atau versi digital dengan bantuan software atau perangkat lunak atau komputer sebagai tool. Animasi dengan komputer akan mempermudah para animator serta membantu animator yang tidak mempunyai bakat dalam menggambar sebab dengan bantuan komputer, karakter animasi yang dibuat dapat menggunakan tool sebagai alat bantuannya. dengan bantuan komputer, para animator tidak perlu lagi menggunakan frame per frame sebagaimana animasi tradisional, sebab dengan bantuan komputer, aimasi dapat dengan mudah membuat model karakter animasi dengan bantuan software, intinya adalah proses pembuatan animasi dengan menggunakan komputer sebagai toolnya.",2.5,2.8039047,5,2.635,3.17366541178339,4.965,2.06,2.2150284,2.41370711915889
