Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerakan,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerakan,0.0,1.1500000000000004
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah","Merumuskan masalah
Menggali informasi
Menyusun hipotesis
Melakukan eksperimen
Menganalisis data
Membuat kesimpulan
Menulis laporan ilmiah",merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah menggali informasi menyusun hipotesis melakukan eksperimen menganalisis data membuat kesimpulan menulis laporan ilmiah,4.5,4.074999999999999
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,peraturan dari suatu penelitian,kumpulan prinsip spesifik  kebenarannya  diuji berulang kali  diterima  meluas,peraturan  suatu penelitian,0.0,0.0
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","Alur Maju: Alur cerita yang mencakup awal hingga akhir tanpa flashback.
Alur Mundur: Alur cerita yang dimulai dari akhir sampai ke awal cerita.
Alur Campuran: Campuran alur maju dan alur mundur, cerita diawali dari awal dan dapat terjadi flashback di tengah cerita.",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,alur maju alur cerita  mencakup awal hingga akhir  flashback alur mundur alur cerita  dimulai  akhir   awal cerita alur campuran campuran alur maju  alur mundur cerita diawali  awal   terjadi flashback  tengah cerita,0.5,0.692499999999999
"tulang atau rangka berfungsi sebagai penopang dan pembentuk tubuh, tempat menempelnya otot dan saraf, serta menjadi pelindung organ-organ vital di dalam tubuh.",Fungsi tulang dan rangka adalah untuk melindungi organ dalam manusia.,tulang  rangka berfungsi  penopang  pembentuk tubuh tempat menempelnya otot  saraf  menjadi pelindung vital   tubuh,fungsi tulang  rangka   melindungi organ  manusia,1.5,4.339999999999997
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,"secara analitik, yaitu penggambaran tokoh dengan cara tersurat atau secara langsung dengan cara melalui pengarang itu sendiri, secara tidak langsung, yaitu melalui percakapan antar tokoh, tindakan serta pendapat tokoh", langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita, analitik  penggambaran tokoh  cara tersurat   langsung  cara melalui pengarang  sendiri   langsung  melalui percakapan antar tokoh tindakan  pendapat tokoh,5.0,2.2150000000000007
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.",Unsur pendukung tari adalah segala sesuatu yang digunakan untuk mendukung suatu tarian. Dengan tujuan memperindah tarian tersebut., memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,unsur pendukung tari  segala   digunakan  mendukung suatu tarian  tujuan memperindah tarian tersebut,1.5,1.9549999999999976
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,Untuk mengetahui nilai fungsi dari suatu barang,teori disusun  menjelaskan sesautu    diamati  langsung   bersifat , mengetahui nilai fungsi  suatu barang,0.0,0.3299999999999996
gerak yang dilakukan sambil berpindah tempat,"Gerak yang Di lakukan dengan berpindah pindah posisi, dari posisi satu ke posisi yang lainnya.",gerak  dilakukan  berpindah tempat,gerak   lakukan  berpindah pindah posisi  posisi satu  posisi  lainnya,5.0,2.4749999999999983
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,Gerak tari yang tidak memiliki arti/makna namun fokus pada keindahan,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak tari   memiliki  fokus  keindahan,4.5,2.51
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","Pengenalan cerita
Pemunculan konflik
Komplikasi
Klimaks
Resolusi",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,pengenalan cerita pemunculan konflik komplikasi klimaks resolusi,2.5,4.444999999999996
"musik pengiring, tata busana, tata rias, properti tari","Tenaga, Ruang, Waktu",musik pengiring tata busana tata rias properti tari,tenaga ruang waktu,0.0,1.8950000000000018
"musik pengiring, tata busana, tata rias, properti tari","Musik pengiring, tata busana, tata rias",musik pengiring tata busana tata rias properti tari,musik pengiring tata busana tata rias,4.0,4.995000000000001
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","berfungsi sebagai pendamping dalam tarian yang d bawakan, dan untuk memberi masukan dan menambahkan khas tarian dari daerah tersebut",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,berfungsi  pendamping  tarian  d bawakan   memberi masukan  menambahkan khas tarian  daerah tersebut,0.5,0.9549999999999985
perubahan posisi atau sikap anggota badan pada saat menari dan merupakan unsur utama dari tari,perubahan posisi dan sikap penari dari satu tempat ke tempat lain/ 1 gerak ke gerakan lain,perubahan posisi  sikap anggota badan   menari  merupakan unsur utama  tari,perubahan posisi  sikap penari  satu tempat  tempat gerak  gerakan ,1.5,1.284999999999998
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","Membentuk suasana, mengatur irama, menginspirasi gerak, mengingat gerak, mengidentifikasi gerak.",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,membentuk suasana mengatur irama menginspirasi gerak mengingat gerak mengidentifikasi gerak,4.5,4.670000000000003
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","mengamati, mengukur, mengklasifikasi, berkomunikasi",mengamati observasi mengklasifikasi mengukur mengajukan pertanyaan merumuskan hipotesis merencanakan penelitian menafsirkan data mengkomunikasikan,mengamati mengukur mengklasifikasi berkomunikasi,2.5,3.645000000000003
Generalisasi dari hubungan antara fakta dengan konsep.,suatu generalisasi hubungan antara fakta dan konsep,generalisasi  hubungan  fakta  konsep,suatu generalisasi hubungan  fakta  konsep,5.0,5.0
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","Religi adalah nilai yang berisi tentang keagamaan yang ada dalam teks hikayat.
nilai Moral adalah nilai pada teks hikayat yang mengandung nilai-nilai moral atau
nilai Pendidikan adalah nilai pada teks hikayat yang mengandung unsur pendidikan serta nilai
Sosial adalah nilai sosial yang mengandung interaksi antar tokoh dalam cerita, dan nilai",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,religi  nilai  berisi  keagamaan    teks hikayat nilai moral  nilai  teks hikayat  mengandung moral  nilai pendidikan  nilai  teks hikayat  mengandung unsur pendidikan  nilai sosial  nilai sosial  mengandung interaksi antar tokoh  cerita  nilai,3.5,2.3699999999999983
kegiatan melihat dan memperhatikan dengan teliti fenomena alam yang akan diamati,mengobservasi sebuah penelitian,kegiatan melihat  memperhatikan  teliti fenomena alam   diamati,mengobservasi sebuah penelitian,0.0,0.8899999999999985
kegiatan membandingkan nilai besaran yang diukur dengan besaran lain yang sejenis yang telah ditetapkan sebagai satuan.,Cara mengetahui tentang pengukuran suatu hal dengan mengukur,kegiatan membandingkan nilai besaran  diukur  besaran   sejenis   ditetapkan  satuan,cara mengetahui  pengukuran suatu   mengukur,0.5,0.3949999999999995
"musik pengiring, tata busana, tata rias, properti tari","Musik pengiring, tata busana,tata rias,properti tari",musik pengiring tata busana tata rias properti tari,musik pengiring tata busana tata rias properti tari,5.0,4.974451625382168
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,"tujuannya adalah untuk menjelaskan sesuatu yang tidak dapat diamati, bersifat tentatif sampai terbukti tidak benar dan diperbaiki",teori disusun  menjelaskan sesautu    diamati  langsung   bersifat ,tujuannya   menjelaskan     diamati bersifat tentatif  terbukti  benar  diperbaiki,3.5,3.044999999999996
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,untuk memahami suatu fenomena alam dan juga membantu untuk memahami teori,representasi  suatu benda  sistem  dibuat  gambaran  memudahkan pemahaman suatu benda  fenomena alam, memahami suatu fenomena alam   membantu  memahami teori,0.0,2.6700000000000017
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,agar dapat membuat sebuah kejadian dapat diperkirakan atau teori rasa penasaran manusia dapat terlegalisir sedikit,teori disusun  menjelaskan sesautu    diamati  langsung   bersifat ,  membuat sebuah kejadian  diperkirakan  teori rasa penasaran manusia  terlegalisir sedikit,0.0,0.5000000000000002
"tulang atau rangka berfungsi sebagai penopang dan pembentuk tubuh, tempat menempelnya otot dan saraf, serta menjadi pelindung organ-organ vital di dalam tubuh.",Sebagai penopang tubuh,tulang  rangka berfungsi  penopang  pembentuk tubuh tempat menempelnya otot  saraf  menjadi pelindung vital   tubuh, penopang tubuh,1.0,2.451666666666667
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","Ilmu yang mempelajari tentang alam dan mempelajari tentang zat zat kimia. Mempelajari juga tentang fisika, biologi, dan kimia.",ilmu pengetahuan  mempelajari gejala alam melalui pengamatan eksperimen  analisis,ilmu  mempelajari  alam  mempelajari  zat zat kimia mempelajari   fisika biologi  kimia,2.5,0.38499999999999945
rasa ingin tahu objektif/jujur berpikir kritis berpikir terbuka sikap penemuan dan kreatif,Rasa ingin tahu yang besar - Bertanggung jawab - Pekerja keras - Jujur - kreatif,rasa  tahu berpikir kritis berpikir terbuka sikap penemuan  kreatif,rasa  tahu  besar bertanggung jawab pekerja keras jujur kreatif,3.0,3.8199999999999945
"fakta, konsep, prinsip, hukum, rumus, teori, model","Fakta, prinsip, model, hukum, rumus, konsep, teori",fakta konsep prinsip hukum rumus teori model,fakta prinsip model hukum rumus konsep teori,5.0,4.974451625382168
jaringan dalam tubuh manusia yang dapat menggerakkan bagian tertentu pada tubuh manusia.,Jaringan dalam tubuh Manusia yang mampu menggerakkan bagian bagian tertentu di tubuh manusia,jaringan  tubuh manusia   menggerakkan bagian tertentu  tubuh manusia,jaringan  tubuh manusia  mampu menggerakkan bagian bagian tertentu  tubuh manusia,5.0,4.119999999999996
Generalisasi dari hubungan antara fakta dengan konsep.,Hubungan antara fakta dan konsep.,generalisasi  hubungan  fakta  konsep,hubungan  fakta  konsep,4.0,2.699999999999998
rasa ingin tahu objektif/jujur berpikir kritis berpikir terbuka sikap penemuan dan kreatif,Rasa ingin tahu - Bertanggung jawab - Teliti - Kritis dan kreatif - Objektif dan jujur - Memiliki pikiran yang terbuka ,rasa  tahu berpikir kritis berpikir terbuka sikap penemuan  kreatif,rasa  tahu bertanggung jawab teliti kritis  kreatif objektif  jujur memiliki pikiran  terbuka,4.0,4.799999999999997
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Tindakan berpikir sebelum memulai rancangan awal pada ilmu fisika,berkaitan  cara berpikir seorang ilmuwan  melakukan proses sains,tindakan berpikir  memulai rancangan awal  ilmu fisika,1.0,2.8042222222222253
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi hubungan antara fakta dan konsep.,generalisasi  hubungan  fakta  konsep,generalisasi hubungan  fakta  konsep,5.0,4.974451625382168
Cepat lambatnya irama gerak serta hitungan gerak yang dalam hal ini berhubungan langsung dengan musik pengiring tari.,Cepat lambatnya irama gerak serta hitungan gerak yang dalam hal ini berhubungan langsung dengan musik pengiring tari.,cepat lambatnya irama gerak  hitungan gerak     berhubungan langsung  musik pengiring tari,cepat lambatnya irama gerak  hitungan gerak     berhubungan langsung  musik pengiring tari,5.0,4.974451625382168
suatu sistem yang terdiri atas sejumlah tulang dan sendi yang membentuk tubuh manusia,bagian tubuh yang memberikan dukungan dan stabilitas tanpa terlibat langsung dalam gerakan,suatu sistem  terdiri atas sejumlah tulang  sendi  membentuk tubuh manusia,bagian tubuh  memberikan dukungan  stabilitas  terlibat langsung  gerakan,0.0,0.1525
"Sendi mati yaitu sendi yang tidak mungkin bergerak.
Sendi tulang rawan atau sendi kaku, yaitu sendi yang memungkinkan terjadinya sedikit gerak antartulang yang terhubung.
Sendi gerak yaitu sendi yang bisa digerakkan dengan bebas.","- Sendi mati yaitu sendi yang tidak mungkin bergerak.
- Sendi tulang rawan atau sendi kaku, yaitu sendi yang memungkinkan terjadinya sedikit gerak antartulang yang terhubung.
- Sendi gerak yaitu sendi yang bisa digerakkan dengan bebas.",sendi mati  sendi   mungkin bergerak sendi tulang rawan  sendi kaku  sendi  memungkinkan terjadinya sedikit gerak antartulang  terhubung sendi gerak  sendi   digerakkan  bebas,sendi mati  sendi   mungkin bergerak sendi tulang rawan  sendi kaku  sendi  memungkinkan terjadinya sedikit gerak antartulang  terhubung sendi gerak  sendi   digerakkan  bebas,5.0,4.974451625382168
jaringan dalam tubuh manusia yang dapat menggerakkan bagian tertentu pada tubuh manusia.,Jaringan dalam tubuh manusia yang dapat menggerakkan bagian tertentu pada tubuh,jaringan  tubuh manusia   menggerakkan bagian tertentu  tubuh manusia,jaringan  tubuh manusia   menggerakkan bagian tertentu  tubuh,5.0,4.715000000000004
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","Fungsi Musik sebagai Pengiring Tari
1.Memberikan Irama. Pada dasarnya tari terdiri dari gerak-gerak yang berirama
2.mengatur dan menentukan irama sehingga sangat sulit menari jika tanpa musik.
Memberikan Ilustrasi Tari
3. Rangsangan bagi Penari",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,fungsi musik  pengiring tari irama  dasarnya tari terdiri   berirama  menentukan irama  sangat sulit menari   musik memberikan ilustrasi tari rangsangan  penari,0.5,0.5699999999999992
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","objektif, metodik, sistematik",mengamati observasi mengklasifikasi mengukur mengajukan pertanyaan merumuskan hipotesis merencanakan penelitian menafsirkan data mengkomunikasikan,objektif metodik sistematik,0.0,0.15000000000000008
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,Untuk menjelaskan sesuatu yang tidak dapat diamati secara langsung dan bersifat sementara,teori disusun  menjelaskan sesautu    diamati  langsung   bersifat , menjelaskan     diamati  langsung  bersifat ,5.0,2.479999999999997
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", teks cerita yang berisi karya fiktif (karangan),salah saju jenis prosa lama  menceritakan kehidupan raja keluarga raja  bangsawan,teks cerita  berisi karya fiktif karangan,1.5,0.6049999999999991
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","Menelaah karakter
Mengendalikan karakter mulai masalah
Puncak masalah (klimaks)
Penyelesaian masalah
Kendi",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,menelaah karakter mengendalikan karakter mulai masalah puncak masalah klimaks penyelesaian masalah kendi,1.5,2.9600000000000035
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,dengan melihat dari sudut perkataan dan sikap dari tokoh itu sendiri, langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita, melihat  sudut perkataan  sikap  tokoh  sendiri,0.0,1.1749999999999996
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.","gerak, tata rias, properti,musik,alat musik,tempo", memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,gerak tata rias properti musik alat musik tempo,0.0,1.6499999999999977
jaringan dalam tubuh manusia yang dapat menggerakkan bagian tertentu pada tubuh manusia.,Jaringan dalam tubuh manusia yang dapat menggerakan bagian tertentu pada tubuh manusia.,jaringan  tubuh manusia   menggerakkan bagian tertentu  tubuh manusia,jaringan  tubuh manusia   menggerakan bagian tertentu  tubuh manusia,5.0,2.9300000000000015
gerakan menoleh sambil menekukkan leher ke samping kiri atau kanan.,Gerakan menoleh sambil menekukkan leher ke samping kiri atau kanan.,gerakan menoleh  menekukkan leher  samping kiri  kanan,gerakan menoleh  menekukkan leher  samping kiri  kanan,5.0,4.974451625382168
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,"secara langsung: yaitu dengan pengarang menuliskan atau menampilkan tulisan yang bertuliskan watak yang dimiliki tokoh, tidak langsung: yaitu cara berbicara atau berdialog si tokoh sepanjang cerita", langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita, langsung   pengarang menuliskan  menampilkan tulisan  bertuliskan watak  dimiliki tokoh  langsung  cara berbicara  berdialog si tokoh sepanjang cerita,5.0,1.219999999999998
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis",ilmu pengetahuan  mempelajari gejala alam melalui pengamatan eksperimen  analisis,ilmu pengetahuan  mempelajari gejala alam melalui pengamatan eksperimen  analisis,4.5,4.974451625382168
"penanda waktu, kesempatan, durasi, tempo, dan timing.","-durasi
-ritme
-tempo
-",penanda waktu kesempatan durasi tempo  timing,,2.0,0.0
Periode waktu yang dibutuhkan dalam menampilkan tarian.,jumlah waktu tarian,periode waktu  dibutuhkan  menampilkan tarian,jumlah waktu tarian,2.5,1.6750000000000003
"penanda waktu, kesempatan, durasi, tempo, dan timing.","Raga,irama,rasa,waktu,ruang",penanda waktu kesempatan durasi tempo  timing,raga irama rasa waktu ruang,0.5,3.7449999999999983
"tungkai atas dan bawah, telapak kaki, jari-jari kaki.","- Kaki
- Paha
- Betis
- Pergelangan kaki
- Telapak kaki",tungkai atas  bawah telapak kaki kaki,kaki paha betis pergelangan kaki telapak kaki,1.5,2.514999999999997
Riasan yang digunakan untuk mempertajam atau mempertegas garis wajah tanpa menghilangkan bentuk wajah asli penari.,Riasan yang digunakan untuk mempertajam atau mempertegas garis wajah tanpa menghilangkan bentuk wajah asli,riasan  digunakan  mempertajam  mempertegas garis wajah  menghilangkan bentuk wajah asli penari,riasan  digunakan  mempertajam  mempertegas garis wajah  menghilangkan bentuk wajah asli,4.5,5.0
Periode waktu yang dibutuhkan dalam menampilkan tarian.,Lama waktu pertunjukan tari,periode waktu  dibutuhkan  menampilkan tarian,lama waktu pertunjukan tari,2.0,2.5141666666666667
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah","Merumuskan masalah, mengumpulkan informasi, melakukan Hipotesis, membuat percobaan, membuat kesimpulan.",merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah mengumpulkan informasi melakukan hipotesis membuat percobaan membuat kesimpulan,3.5,2.424999999999997
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.","-Ruang gerak: bentuk yang di hasilkan penari setelah melakukan gerakan

-Ruang panggung: ruang sebagai tempat pentas seni tari",ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,gerak bentuk   hasilkan penari  melakukan gerakan panggung ruang  tempat pentas seni tari,0.5,2.989999999999997
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,Untuk menjelaskan suatu yang tidak dapat diamati,teori disusun  menjelaskan sesautu    diamati  langsung   bersifat , menjelaskan suatu    diamati,0.0,1.1400000000000001
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",tujuan atau target yang mau di tuju dengan serius,pengetahuan sesuai  objek  diamati  didukung  fakta empiris  didasarkan atas orang ,tujuan  target  mau  tuju  serius,0.0,0.6750000000000003
jaringan dalam tubuh manusia yang dapat menggerakkan bagian tertentu pada tubuh manusia.,jaringan dalam tubuh manusia yang dapat menggerakkan bagian tertentu pada tubuh manusia.,jaringan  tubuh manusia   menggerakkan bagian tertentu  tubuh manusia,jaringan  tubuh manusia   menggerakkan bagian tertentu  tubuh manusia,5.0,4.974451625382168
perubahan posisi atau sikap anggota badan pada saat menari dan merupakan unsur utama dari tari,perubahan sikap posisi anggota badan,perubahan posisi  sikap anggota badan   menari  merupakan unsur utama  tari,perubahan sikap posisi anggota badan,2.0,4.494999999999999
Pakaian utama yang dikenakan oleh penari dan benar-benar tampak bagi penonton.,pakaian utama yang dikenakan oleh penari,pakaian utama  dikenakan  penari  tampak  penonton,pakaian utama  dikenakan  penari,2.5,3.7899999999999983
jawaban sementara dari masalah yang diteliti sehingga kebenarannya harus diuji secara empiris.,jawaban sementara dari masalah yang sedang diteliti.,jawaban   masalah  diteliti  kebenarannya  diuji  empiris,jawaban   masalah  sedang diteliti,2.5,2.7200000000000006
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,prinsip prinsip khusus atau spesifik yang diterima secara meluas setelah dilakukan pengujian berulang kali dan kebenarannya telah diakui dengan dukungan oleh bukti-bukti ilmiah.,kumpulan prinsip spesifik  kebenarannya  diuji berulang kali  diterima  meluas,prinsip prinsip khusus  spesifik  diterima  meluas  dilakukan pengujian berulang kali  kebenarannya  diakui  dukungan  ilmiah,5.0,4.279999999999998
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,"Cara Langsung = Pengarang menggambarkan watak tokoh melalui nama, kepribadian, jalan pikiran, proses bahasa dan lingkungan
Cara tidak Langsung = Pengarang menggambarkan watak tokoh melalui:
Percakapan atau dialog
Penggambaran/Sudut pandang dari tokoh lain
Tindakan saat tokoh menghadapi masalah
Reaksi tokoh lain", langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita,cara langsung pengarang menggambarkan watak tokoh melalui nama kepribadian jalan pikiran proses bahasa  lingkungan cara  langsung pengarang menggambarkan watak tokoh melalui percakapan  dialog pandang  tokoh  tindakan  tokoh menghadapi masalah reaksi tokoh ,5.0,1.930000000000001
jawaban sementara dari masalah yang diteliti sehingga kebenarannya harus diuji secara empiris.,dugaan dugaan yang belum tentu benar,jawaban   masalah  diteliti  kebenarannya  diuji  empiris,dugaan dugaan    benar,2.0,0.5200000000000002
