Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
"pakaian dasar, pakaian kaki, pakaian tubuh, pakaian kepala, aksesori pelengkap.","pakaian dasar,pakaian kaki,pakaian kepala,pakai tubuh,dan pakaian pelengkap.",pakaian dasar pakaian kaki pakaian tubuh pakaian kepala aksesori pelengkap,pakaian dasar pakaian kaki pakaian kepala pakai tubuh  pakaian pelengkap,4.5,4.850000000000001
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.",pribadi dan umum,ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,pribadi  umum,0.0,2.5141666666666667
kegiatan membandingkan nilai besaran yang diukur dengan besaran lain yang sejenis yang telah ditetapkan sebagai satuan.,kegiatan untuk menentukan suatu ukuran suatu objek. ,kegiatan membandingkan nilai besaran  diukur  besaran   sejenis   ditetapkan  satuan,kegiatan  menentukan suatu ukuran suatu objek,0.5,1.9500000000000004
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","pengenalan atau orientasi, yaitu cerita awal atau pengenalan cerita, pemunculan konflik, munculnya konflik pada cerita, puncak konflik atau komunikasi, masalah menjadi besar atau menjadi panas, klimaks, masalah mulai menurun, resolusi, cara untuk menyelesaikan masalah",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,pengenalan  orientasi  cerita awal  pengenalan cerita pemunculan konflik munculnya konflik  cerita puncak konflik  komunikasi masalah menjadi besar  menjadi panas klimaks masalah mulai menurun resolusi cara  menyelesaikan masalah,5.0,2.564999999999996
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.",Ruang tari dibagi menjadi 2 yaitu ruang rill sebagai tempat pementasan/latihan dan ruang imajiner yaitu yang diciptakan oleh penari dari pose atau perpindahan gerak penari.,ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,ruang tari dibagi menjadi  ruang rill  tempat  ruang imajiner   diciptakan  penari  pose  perpindahan gerak penari,2.5,2.8949999999999996
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","Mengatur irama tari,membentuk suasana,mempertegas ungkapan gerak,mengidentifikasi tari",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,mengatur irama tari membentuk suasana mempertegas ungkapan gerak mengidentifikasi tari,3.5,3.7450000000000006
"objektif, metodik, sistematik, berlaku umum","kritis dan analisis, logis, objektif, empiris, konseptual",objektif metodik sistematik berlaku umum,kritis  analisis logis objektif empiris konseptual,5.0,0.7949999999999989
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik semakin intens.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah atau ending senang, biasanya ada di akhir cerita.",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik semakin intens klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah  ending senang biasanya   akhir cerita,5.0,3.1800000000000033
"Berfungsi mengawali, mengendalikan, dan menghentikan gerak.","Untuk mengawali, menghentikan, dan mengendalikan gerak",berfungsi mengawali mengendalikan  menghentikan gerak, mengawali menghentikan  mengendalikan gerak,5.0,4.959999999999999
"Abstraksi dari kejadian, fenomena, & fakta. Unsur konsep adalah nama, definisi, nilai dan contoh.",mencari bahan cerita atau kriteria untuk membuat sebuah cerita untuk dikerjakan,abstraksi  kejadian fenomena fakta unsur konsep  nama definisi nilai  contoh,mencari bahan cerita  kriteria  membuat sebuah cerita  dikerjakan,0.0,0.44499999999999923
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," salah satu krosa lama yang menceritakan kerajaan, raja-raja, dan bangsawan",salah saju jenis prosa lama  menceritakan kehidupan raja keluarga raja  bangsawan,salah satu krosa lama  menceritakan kerajaan  bangsawan,4.0,3.559999999999999
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,Gerak murni suatu gerak yang tdk memiliki makna,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak murni suatu gerak  tdk memiliki makna,2.5,1.270000000000002
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terkait
Variabel kontrol",variabel bebas variabel terkait variabel terkontrol,variabel bebas variabel terkait variabel kontrol,5.0,2.75
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.","Ruang pribadi adalah jika penari melakukan gerak tanpa berpindah tempat, atau jangkauan yang dapat dicapai bagian tubuh penari ketika bergerak. Sedangkan ruang umum adalah jika penari melakukan gerakan dengan berpindah tempat atau membentuk suatu pola yang biasa disebut pola lantai.",ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,ruang pribadi   penari melakukan gerak  berpindah tempat  jangkauan   dicapai bagian tubuh penari  bergerak  ruang umum   penari melakukan gerakan  berpindah tempat  membentuk suatu pola  biasa disebut pola lantai,3.0,0.9099999999999998
kegiatan membandingkan nilai besaran yang diukur dengan besaran lain yang sejenis yang telah ditetapkan sebagai satuan.,"proses untuk menganalisa ukuran suatu benda baik ukuran panjang, lebar, dan massa.",kegiatan membandingkan nilai besaran  diukur  besaran   sejenis   ditetapkan  satuan,proses  menganalisa ukuran suatu benda baik ukuran panjang lebar  massa,4.0,16.584999999999972
"Rias realistis, rias karakter, rias fantasi, rias usia, rias jenis.","Tata rias yang digunakan dalam pertunjukan tari meliputi:
Rias wajah, seperti pembersih, pelembab, alas bedak, bedak padat, pensil alis, perona mata, eyeliner, pewarna bulu mata, dan blush on 

Body painting 

Tata rias di kepala, seperti konde, sasak, dan penggunaan hair spray",rias realistis rias karakter rias fantasi rias usia rias jenis,tata rias  digunakan  pertunjukan tari meliputi rias wajah  pembersih pelembab alas bedak bedak padat pensil alis perona mata eyeliner pewarna bulu mata  blush on body painting tata rias  kepala  konde sasak  penggunaan hair spray,0.5,1.4949999999999983
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","-Memberi irama,ketukan, dan tempo
-Sebagai harmoni dari tari
-Menciptakan suasana yang indah",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,irama ketukan  tempo harmoni  tari suasana  indah,1.0,1.0100000000000002
"berpusat atau bercerita tentang kerajaan (istana sentris), tidak diketahui nama pengarangnya (anonim) mengandung banyak nilai, terutama nilai moral bersifat statis tidak berkembang selalu berakhir dengan kemenangan tokoh utama (bahagia) arkais kemustahilan","bersifat istana sentris
Anonim
mengandung banyak nilai
bersifat Statis
akhir cerita happy end
menggunakan bahasa arkais
mengandung kemustahilan",berpusat  bercerita  kerajaan istana sentris  diketahui nama pengarangnya anonim mengandung banyak nilai terutama nilai moral bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama bahagia arkais kemustahilan,bersifat istana sentris anonim mengandung banyak nilai bersifat statis akhir cerita happy end menggunakan bahasa arkais mengandung kemustahilan,5.0,4.060000000000002
"Sendi pelana terdapat pada sambungan antara tulang telapak tangan dan tulang ruas jari
Sendi peluru menghubungkan lengan atas dengan bahu dan juga tulang paha dengan gelang panggul.","Sendi Pelana : Terletak di antara dua tulang yang memungkinkan gerakan ke arah dua sumbu, seperti pada jari tangan.
Sendi Peluru : Terletak di bagian tubuh yang memungkinkan gerakan dalam berbagai arah, seperti pada sendi bahu.",sendi pelana terdapat  sambungan  tulang telapak tangan  tulang ruas jari sendi peluru menghubungkan lengan atas  bahu   tulang paha  gelang panggul,sendi pelana terletak    tulang  memungkinkan gerakan  arah  sumbu   jari tangan sendi peluru terletak  bagian tubuh  memungkinkan gerakan  berbagai arah   sendi bahu,2.0,1.8499999999999972
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","mengamati
mengukur
merumuskan hipotesis
mengklasifikasi mengerjakan penelitian",mengamati observasi mengklasifikasi mengukur mengajukan pertanyaan merumuskan hipotesis merencanakan penelitian menafsirkan data mengkomunikasikan,mengamati mengukur merumuskan hipotesis mengklasifikasi mengerjakan penelitian,2.5,4.315000000000003
jawaban sementara dari masalah yang diteliti sehingga kebenarannya harus diuji secara empiris.,dugaan sementara dari data-data yang telah dikumpulkan. (jawaban sementara),jawaban   masalah  diteliti  kebenarannya  diuji  empiris,dugaan     dikumpulkan jawaban ,1.5,1.849999999999997
Periode waktu yang dibutuhkan dalam menampilkan tarian.,lamanya sesuatu yang berlangsung secara rentangnya waktu,periode waktu  dibutuhkan  menampilkan tarian,lamanya   berlangsung  rentangnya waktu,1.0,0.015
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mempelajari dari suatu gejala alam.,ilmu pengetahuan  mempelajari gejala alam melalui pengamatan eksperimen  analisis,ilmu  mempelajari  suatu gejala alam,2.5,2.7149999999999967
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.",unsur-unsur yang mendukung gerakan tari., memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari, mendukung gerakan tari,0.5,1.804999999999997
kegiatan melihat dan memperhatikan dengan teliti fenomena alam yang akan diamati,kegiatan observasi artinya mengamati fenomena secara teliti.,kegiatan melihat  memperhatikan  teliti fenomena alam   diamati,kegiatan observasi artinya mengamati fenomena  teliti,2.0,0.38000000000000006
gerak tari yang menggambarkan suatu hal secara simbolik melalui hal-hal yang tidak realistik (abstrak),gerak tari yang menggambarkan suatu hal secara simbolik melalui hal-hal yg tidak realistis (abstrak),gerak tari  menggambarkan suatu   simbolik melalui   realistik abstrak,gerak tari  menggambarkan suatu   simbolik melalui yg  realistis abstrak,5.0,3.9549999999999983
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,barang dijadikan sebagai penelitian ilmiah.,hasil penemuan  berbagai penyelidikan  penelitian  dikumpulkan  disusun  sistematis menjadi kumpulan pengetahuan,barang dijadikan  penelitian ilmiah,0.0,0.9100000000000001
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas,kumpulan prinsip spesifik  kebenarannya  diuji berulang kali  diterima  meluas,kumpulan prinsip spesifik  kebenarannya  diuji berulang kali  diterima  meluas,5.0,4.974451625382168
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",Rumus untuk suatu barang yang telah diteliti dan dibuktikan rumusnya,pernyataan matematis  suatu fakta konsep prinsip hukum  teori  menggambarkan keterkaitan   menggambarkan fenomena alam tertentu,rumus  suatu barang   diteliti  dibuktikan rumusnya,0.0,2.554999999999998
Cepat lambatnya irama gerak serta hitungan gerak yang dalam hal ini berhubungan langsung dengan musik pengiring tari.,Cepat lambatnya irama gerak serta hitungan gerak yang dalam hal ini berhubungan langsung dengan musik pengiring tari.,cepat lambatnya irama gerak  hitungan gerak     berhubungan langsung  musik pengiring tari,cepat lambatnya irama gerak  hitungan gerak     berhubungan langsung  musik pengiring tari,5.0,4.974451625382168
Pakaian utama yang dikenakan oleh penari dan benar-benar tampak bagi penonton.,Pakaian utama yang dikenakan oleh penari dan benar-benar tampak bagi penonton,pakaian utama  dikenakan  penari  tampak  penonton,pakaian utama  dikenakan  penari  tampak  penonton,5.0,4.974451625382168
Riasan yang digunakan untuk mempertajam atau mempertegas garis wajah tanpa menghilangkan bentuk wajah asli penari.,"teknik tata rias yang digunakan untuk menciptakan tampilan yang menyerupai kondisi nyata atau alami, dengan tujuan agar karakter yang dibawakan terlihat seperti kehidupan sehari-hari.",riasan  digunakan  mempertajam  mempertegas garis wajah  menghilangkan bentuk wajah asli penari,teknik tata rias  digunakan  menciptakan tampilan  menyerupai kondisi nyata  alami  tujuan  karakter  dibawakan terlihat  kehidupan,1.0,2.4449999999999985
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",pemikiran para ilmuan. Sains untuk mengungkap sesuatu hal yang baru.,ilmu pengetahuan  mempelajari gejala alam melalui pengamatan eksperimen  analisis,pemikiran  ilmuan sains  mengungkap    baru,0.0,4.13
gerak yang dilakukan sambil berpindah tempat,"Gerakan tari yang melibatkan pergeseran posisi tubuh dari satu tempat ke tempat lain, seperti berjalan, berlari, atau melompat",gerak  dilakukan  berpindah tempat,gerakan tari  melibatkan pergeseran posisi tubuh  satu tempat  tempat   berjalan berlari  melompat,4.0,3.0350000000000037
"pemahaman tentang bagaimana informasi ilmiah dalam fisika diperoleh, diuji, dan divalidasi.","Pemahaman tentang pengetahuan ilmiah dalam fisika yang diperoleh, diuji, dan divalidasi.",pemahaman  bagaimana informasi ilmiah  fisika diperoleh diuji  divalidasi,pemahaman  pengetahuan ilmiah  fisika  diperoleh diuji  divalidasi,5.0,2.9950000000000006
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","Nilai Moral: Nilai yang berkaitan dengan baik buruknya tokoh.
Nilai Sosial: Nilai yang berkaitan dengan sikap tokoh yang berhubungan dengan tokoh lainnya.
Nilai Religi: Nilai yang berhubungan dengan manusia dengan Tuhan.
Nilai Budaya: Nilai yang berkaitan dengan kebiasaan masyarakat.
Nilai Pendidikan: Nilai yang berkaitan upaya seseorang dalam mencapai ilmu pengetahuan.",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai moral nilai  berkaitan  baik buruknya tokoh nilai sosial nilai  berkaitan  sikap tokoh  berhubungan  tokoh lainnya nilai religi nilai  berhubungan  manusia  tuhan nilai budaya nilai  berkaitan  kebiasaan masyarakat nilai pendidikan nilai  berkaitan upaya seseorang  mencapai ilmu pengetahuan,5.0,3.7450000000000006
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,"Teori disusun untuk menjelaskan cara kerja/rumus dari suatu objek yang sedang diteliti, dalam bentuk kalimat/urutan kata.",teori disusun  menjelaskan sesautu    diamati  langsung   bersifat ,teori disusun  menjelaskan cara  suatu objek  sedang diteliti  bentuk kata,0.5,1.2849999999999995
Pakaian utama yang dikenakan oleh penari dan benar-benar tampak bagi penonton.,"segala jenis busana atau pakaian yang dikenakan pada tubuh manusia, yang berfungsi untuk melindungi, memperindah, dan memberikan identitas sosial atau budaya.",pakaian utama  dikenakan  penari  tampak  penonton,segala jenis busana  pakaian  dikenakan  tubuh manusia  berfungsi  melindungi memperindah  memberikan identitas sosial  budaya,2.5,0.9949999999999987
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",salah satu untuk melakukan hasil pengukuran agar diketahui hasilnya,pernyataan matematis  suatu fakta konsep prinsip hukum  teori  menggambarkan keterkaitan   menggambarkan fenomena alam tertentu,salah satu  melakukan hasil pengukuran  diketahui hasilnya,0.0,0.01
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.",Unsur yang membuat tari lebih bermakna., memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,unsur  membuat tari lebih bermakna,1.5,2.2199999999999993
"musik pengiring, tata busana, tata rias, properti tari","Busana,tata rias,musik.",musik pengiring tata busana tata rias properti tari,busana tata rias musik,3.5,4.965
"Sendi mati yaitu sendi yang tidak mungkin bergerak.
Sendi tulang rawan atau sendi kaku, yaitu sendi yang memungkinkan terjadinya sedikit gerak antartulang yang terhubung.
Sendi gerak yaitu sendi yang bisa digerakkan dengan bebas.","-sendi mati
yaitu sendi yang tidak mungkin bergerak
-sendi tulang rawan (sendi kaku)
yaitu sendi yang memungkinkan terjadinya sedikit gerak antartulang yang terhubung
-sendi gerak 
yaitu sendi yang bisa digerakkan dengan bebas",sendi mati  sendi   mungkin bergerak sendi tulang rawan  sendi kaku  sendi  memungkinkan terjadinya sedikit gerak antartulang  terhubung sendi gerak  sendi   digerakkan  bebas,mati  sendi   mungkin bergerak tulang rawan sendi kaku  sendi  memungkinkan terjadinya sedikit gerak antartulang  terhubung gerak  sendi   digerakkan  bebas,5.0,4.996123900393371
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari.",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,5.0,4.974451625382168
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", salah satu jenis sastra lama yang berbentuk lisan atau tulisan,salah saju jenis prosa lama  menceritakan kehidupan raja keluarga raja  bangsawan,salah satu jenis sastra lama  berbentuk lisan  tulisan,3.5,2.0850000000000004
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi dari hubungan antara fakta dan konsep,generalisasi  hubungan  fakta  konsep,generalisasi  hubungan  fakta  konsep,5.0,4.974451625382168
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Pemikiran para ilmuwan sains dapat disebut sebagai a way of thinking sebagai kegiatan kreatif karena ide-ide dan dari suatu gejala disusun dalam pikiran dan sikap,berkaitan  cara berpikir seorang ilmuwan  melakukan proses sains,pemikiran  ilmuwan sains  disebut  a way of thinking  kegiatan kreatif    suatu gejala disusun  pikiran  sikap,2.0,3.3249999999999935
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","Nilai Religi : tentang sudut keagamaan
Nilai Pendidikan : tentang ilmu pengetahuan
Nilai Sosial : tentang kehidupan antar manusia
Nilai Budaya : tentang kebudayaan suatu daerah
Nilai Moral : tentang baik atau buruknya manusia",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai religi  sudut keagamaan nilai pendidikan  ilmu pengetahuan nilai sosial  kehidupan antar manusia nilai budaya  kebudayaan suatu daerah nilai moral  baik  buruknya manusia,5.0,3.5650000000000044
"tungkai atas dan bawah, telapak kaki, jari-jari kaki.","Tungkai atas atau bawah, telapak kaki, jari-jari kaki",tungkai atas  bawah telapak kaki kaki,tungkai atas  bawah telapak kaki kaki,5.0,4.974451625382168
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,"Secara langsung (analitik) dan secara tidak langsung (dramatik).
Secara dramatik misalnya, dialog, bercerita.
Secara analitik berbicara secara langsung.", langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita, langsung analitik    langsung dramatik  dramatik misalnya dialog bercerita  analitik berbicara  langsung,5.0,1.945000000000001
"penanda waktu, kesempatan, durasi, tempo, dan timing.","Tempo menari, tempo musik, ritme musik, durasi musik,durasi menari",penanda waktu kesempatan durasi tempo  timing,tempo menari tempo musik ritme musik durasi musik durasi menari,1.0,0.814999999999999
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terkontrol
Variabel terikat",variabel bebas variabel terkait variabel terkontrol,variabel bebas variabel terkontrol variabel terikat,5.0,4.924999999999999
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,"gerakan yang dilakukan untuk mendapatkan keindahan atau bentuk artistik, tanpa mempertimbangkan makna tertentu. Gerak murni juga disebut sebagai gerak wantah. 

Gerak murni dalam seni tari memiliki ciri-ciri sebagai berikut: Eksploratif, Abstrak, Estetis, Tidak memiliki makna atau pesan spesifik, Lebih fokus pada teknis dan kualitas gerakan.",gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerakan  dilakukan  mendapatkan keindahan  bentuk artistik  mempertimbangkan makna tertentu gerak murni  disebut  gerak wantah gerak murni  seni tari memiliki  berikut eksploratif abstrak estetis  memiliki makna  pesan spesifik lebih fokus  teknis  kualitas gerakan,2.5,1.8500000000000008
kegiatan melihat dan memperhatikan dengan teliti fenomena alam yang akan diamati,"Kegiatan meneliti dalam suatu penelitian, melihat dan memperhatikan",kegiatan melihat  memperhatikan  teliti fenomena alam   diamati,kegiatan meneliti  suatu penelitian melihat  memperhatikan,2.0,4.410000000000002
penghubung antartulang dan keberadaannya memungkinkan tulang-tulang dapat digerakkan,Sendi tubuh bagian siku,penghubung antartulang  keberadaannya memungkinkan  digerakkan,sendi tubuh bagian siku,0.0,0.37999999999999956
Pengetahuan yang diperoleh dengan menggunakan cara-cara tertentu yang teratur dan terkontrol.,pengetahuan yang diperoleh secara terkontrol tanpa terpengaruhi variabel terikat,pengetahuan  diperoleh  menggunakan tertentu  teratur  terkontrol,pengetahuan  diperoleh  terkontrol  terpengaruhi variabel terikat,3.0,1.595000000000002
"berpusat atau bercerita tentang kerajaan (istana sentris), tidak diketahui nama pengarangnya (anonim) mengandung banyak nilai, terutama nilai moral bersifat statis tidak berkembang selalu berakhir dengan kemenangan tokoh utama (bahagia) arkais kemustahilan","Menceritakan tentang kerajaan atau istana sentris
Menceritakan tokoh yang selalu berakhir bahagia
Ceritanya bersifat statis
Bersifat anonim
Mengandung banyak nilai terutama nilai moral",berpusat  bercerita  kerajaan istana sentris  diketahui nama pengarangnya anonim mengandung banyak nilai terutama nilai moral bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama bahagia arkais kemustahilan,menceritakan  kerajaan  istana sentris menceritakan tokoh  selalu berakhir bahagia ceritanya bersifat statis bersifat anonim mengandung banyak nilai terutama nilai moral,3.0,4.965
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil penemuan dari berbagai penelitian,hasil penemuan  berbagai penyelidikan  penelitian  dikumpulkan  disusun  sistematis menjadi kumpulan pengetahuan,hasil penemuan  berbagai penelitian,2.0,2.3249999999999966
